# ID,type,coor_x[um], coor_y[um] 
125,	 1,	 42345.0,	 15900.0 
126,	 1,	 51755.0,	 15900.0 
127,	 1,	 61165.0,	 15900.0 
128,	 1,	 -51755.0,	 23850.0 
129,	 1,	 -42345.0,	 23850.0 
130,	 1,	 -32935.0,	 23850.0 
131,	 1,	 -23525.0,	 23850.0 
132,	 1,	 -14115.0,	 23850.0 
133,	 1,	 -4705.0,	 23850.0 
134,	 1,	 4705.0,	 23850.0 
135,	 1,	 14115.0,	 23850.0 
136,	 1,	 23525.0,	 23850.0 
137,	 1,	 32935.0,	 23850.0 
138,	 1,	 42345.0,	 23850.0 
139,	 1,	 51755.0,	 23850.0 
140,	 1,	 61165.0,	 23850.0 
141,	 1,	 -51755.0,	 31800.0 
142,	 1,	 -42345.0,	 31800.0 
143,	 1,	 -32935.0,	 31800.0 
144,	 1,	 -23525.0,	 31800.0 
145,	 1,	 -14115.0,	 31800.0 
146,	 1,	 -4705.0,	 31800.0 
147,	 1,	 4705.0,	 31800.0 
148,	 1,	 14115.0,	 31800.0 
149,	 1,	 23525.0,	 31800.0 
150,	 1,	 32935.0,	 31800.0 
151,	 1,	 42345.0,	 31800.0 
152,	 1,	 51755.0,	 31800.0 
153,	 1,	 -42345.0,	 39750.0 
154,	 1,	 -32935.0,	 39750.0 
155,	 1,	 -23525.0,	 39750.0 
156,	 1,	 -14115.0,	 39750.0 
157,	 1,	 -4705.0,	 39750.0 
158,	 1,	 4705.0,	 39750.0 
159,	 1,	 14115.0,	 39750.0 
160,	 1,	 23525.0,	 39750.0 
161,	 1,	 32935.0,	 39750.0 
162,	 1,	 42345.0,	 39750.0 
163,	 1,	 51755.0,	 39750.0 
164,	 1,	 -42345.0,	 47700.0 
165,	 1,	 -32935.0,	 47700.0 
166,	 1,	 -23525.0,	 47700.0 
167,	 1,	 -14115.0,	 47700.0 
168,	 1,	 -4705.0,	 47700.0 
169,	 1,	 4705.0,	 47700.0 
170,	 1,	 14115.0,	 47700.0 
171,	 1,	 23525.0,	 47700.0 
172,	 1,	 32935.0,	 47700.0 
173,	 1,	 42345.0,	 47700.0 
174,	 1,	 -32935.0,	 55650.0 
175,	 1,	 -23525.0,	 55650.0 
176,	 1,	 -14115.0,	 55650.0 
177,	 1,	 -4705.0,	 55650.0 
178,	 1,	 4705.0,	 55650.0 
179,	 1,	 14115.0,	 55650.0 
180,	 1,	 23525.0,	 55650.0 
181,	 1,	 32935.0,	 55650.0 
182,	 1,	 -14115.0,	 63600.0 
183,	 1,	 -4705.0,	 63600.0 
184,	 1,	 4705.0,	 63600.0 
185,	 1,	 14115.0,	 63600.0 
